현직인사팀과장이만든강의영상공유
COS자격증취득해두는게좋을까요?
쉽지않네요
여보아라~~~~~
경기도권취준생에게도움되는일자리카페
온라인설문조사(대학생대상)참여하시면기프티콘을드립니다~!
[아이티윌부산교육센터]IT국비무료교육안내
영어스피킹시험준비하시는분들공부법추천해요~
금융과정대외활동
토익공부비법900점초급반고수반
일요일이6번남았나요...
스트레스받아서덕질해봄..
자소서쓸때활용하기좋은명언들
[필독]하반기대기업/공기업합격스펙및자소서공유
VRAR게임콘텐츠전문가교육받아볼까하는데어때요?
대기업소프트웨어취업준비cos자격증
스터디같이하실분찾아요!!
취준생비애
은행장이알려주는은행공채면접특강
이번학기막학기인데ㅠㅠ너무놀았어요
[]28살공기업최종합격후기및준비과정
어디취업할지고민이네요~
스터디같이하실분찾아요!!
전국민이참여할수있는재밌는공모전입니다~!
[자소서TIP]합격자소서작성꿀팁요
일산올패밀리뮤직페스티벌한대요^^
2018소재부품뿌리산업주간기술전시회채용설명회
10월에면접준비하시는분들
얼른취직하고싶네요ㅠㅠ
[한국개발연구원산하대학원]2019학년도봄전형서울대학교방문입학설명회
★부산서면IT무료교육-개발자취업반★
WLC취업콘서트
[취업교육]물류관리사/국제무역사/ERP생산정보/국제의료관광코디네이터
WLC취업콘서트2018.10.06토요일14시~
[한화손해보험]2018하반기한화손해보험일반직신입사원모집(~10/10까지접수)
스타벅스아메리카노전원증정한다네요
베스트질문
[봉사자/자원활동가모집]<세상에서가장큰놀이터축제,떼굴이>를모집합니다!
취업하고싶다..
대기업과공기업동시합격자의인적성총정리영상
[한화손해보험]2018하반기한화손해보험일반직신입사원모집(~10/10까지접수)
면접준비하느라라식한후기공유해요
해커스한승태,김동영쌤감사합니다!!
★2018년수원시취업준비청년교통비지원대상추가(3차)모집공고★
신입취준생입니다.
이번주일요일,귀염뽀짝말랑진구와함께즐기는'주말새로고침ver.진구네'
1년차취준인데웹소설보다난데없이눈물났네요ㅋㅋㅋㅋ
애매한25살...
[청년문화강연기획팀]9월/포레스트버드팀의다양한강연!청춘분들을초대합니다
승무원학원소수정예4명이라확실히집중적으로배울수있어좋은듯
안녕하세요?
대학졸업후취업or대학원
하반기준비중입니다.
하반기준비시작
오늘강남7시30!한국여행온미국인친구들과포차가실분!!
비가많이오네요
토익뭐부터시작할지
힘드네요
하반기정보많이공유부탁드려요ㅎ
하반기시작!
항만법공부해보신분있을까요
영어공부
면접시복장문의드려요
정보공유많이해요^^
NCS입문은인강필수일까요
취업하려면꼭있어야한다는필수자격증뭐가있나궁금해요.
비공식적인회식도꼭참석해야할까요?
중소기업과대기업초봉차이가큰가요?
다들토익처음봤을때몇점정도나왔나요?
비엄청오네요
상사와의식사.jpg
요즘은영어를주로어떤걸더보나요?(특히영상계통)
엘리베이터가느릴때기업별대처
영화쪽대기업가고싶은데
지칠때보면좋은힐링글귀
한화김승연호텔&리조트,마케팅기획채용..
대외활동VS인턴이제4학년입니다..
아래코딩자격증말씀하셨는데저는COSPro자격증따야되겠네요.
공기업,공무원쪽준비해보려고합니다
코딩자격증취득해야할까요
고민은...계속자괴감이들어서
금융권취업..자격증..뭐가좋을까?
외국어얼마나준비하세요?
대학졸업할때mos자격증이필요하네요.
안녕하세요27세남생산직신발경력출신입니다
다들토익공부어떻게하시나요?
비전공자IT기업취업관련자격증
고민이너무많아고민이에요ㅠㅠ
취업이참어렵네요~
2018년얼마안남았네여
이과생진짜이러나요..?ㅋㅋ
쉽지않네요
취업이잘안되서고민이네요
인문계졸공기업고졸채용가능할까요?
9호선
모두화이팅!
공기관준비하려고합니다.
계속고민되네용ㅠㅠㅠ비상금대출받아도괜찮을까요???
워라밸
전혀관계없는부서로이동.........
전혀관계없는부서로이동.........
IT기업목표로하시는분많나요?
휴학생의고민들어주실래요?ㅠㅠ
취직이하고싶어요
다들토익어디서들으세요?
한전필기어렵다던데,,
공기관준비하려고합니다.
입사시험...
좀심각한고민입니다..
30살현실적연봉?
공채계속올라오고하는데
서류합격후에시험미응시하면다음번서류에필터링되나요?
끊임없이공채는올라오는데...
컴활필기질문이요!
이야기잘하는방법!!
대전)말잘하는방법이있다!?
짧지만다양한경험,자꾸방황하는것같은스스로가고민입니다.
대전)말잘하는방법알고싶다면여기로!
자격증
신입을뽑는다고하면경력은안뽑눈다는걸까요??
신입을뽑는다고하면경력은안뽑눈다는걸까요??
유투브재밌당
고민
운동할시간이없다
보통이력서내면며칠뒤에서합연락오나요?
스피치잘하고싶다면??
경력은못쌓고계속신입으로들어갈생각만하는나
it직업훈련소좋은곳아시는분계신가요?
말하는능력배우고싶은분은여기로!
mos나컴활2급?
대외활동에합격했는데요.
대외활동에합격했는데요.
취직
mos자격증따면실무에도움되나요?
회사에파벌있으신가여?
이것도직업인데이래선안된다고생각합니다.
컴활2급봐야되나요?
컴활2급봐야되나요?
OA자격증결정하기어렵네요
OA자격증결정하기어렵네요
진로가고민입니다.ㅠㅠ
자신의스펙에만족하세요?ㅠㅠ?
내적성을모르겠어요...ㅠㅠ
어문계열전공자분들은ㅠㅠ
끝없는고민ㅠㅠ스펙...
막막하네요.답변부탁드려요ㅠㅠ
인턴고민입니다ㅜㅜ
서류통과하고싶어요ㅠㅠ
취직이뭔가요ㅠㅠ
다들주변에서취직하는데ㅠㅠ..
고민하다고민에깔리네요ㅠㅠ
뭘해야할지모르겠어요ㅠ
하지만재취업생각...ㅠㅠ..고민ㅠㅠ
